Shawn,Animals,528,7
Shawn2,Animals,356,10
Shawn3,Celebrities,0,15
Soham,Presidents,72,43
Soham,Presidents,216,17
Soham3,Celebrities,129,26
Soham,Presidents,201,18
Soham,Presidents,118,29
SM,Celebrities,146,24
Test,Presidents,174,21
Test2,Animals,295,12
Soham,Presidents,221,16
Soham,Fruits,551,7
Soham,Fruits,275,14
Soham,Presidents,293,13
SM,Presidents,299,12
Soham,Animals,256,13
SM,Presidents,185,20
Shawn,Celebrities,251,15
Shawn,Animals,550,7
Shawn,Presidents,420,9
Shawn,Animals,1317,3
Shawn,Fruits,766,5
shawnz,Presidents,245,15
shawnz,Presidents,245,15
shawnz,Presidents,245,15
shawnz,Presidents,245,15
shawnz,Presidents,245,15
shawnz,Presidents,245,15
shawnz,Presidents,245,15
shawnz,Presidents,245,15
shawnz,Presidents,245,15
shawnz,Presidents,245,15
